nombre,apellidomaterno,apellidopaterno,ocupacion,parentesco,telefonocasa,celular,correo,calledomicilio,numerodomicilio,colonia,codigopostal
Pedro,Gutiererz,Sanchez,Contador,Padre,11111111,111111,pedro@gmail.com,AvCalle,5,veracruz,9565
Pedro,Gutiererz,Sanchez,Contador,Padre,11111111,111111,pedro@gmail.com,AvCalle,5,veracruz,9565
Pedro,Gutiererz,Sanchez,Contador,Padre,11111111,111111,pedro@gmail.com,AvCalle,5,veracruz,9565
Pedro,Gutiererz,Sanchez,Contador,Padre,11111111,111111,pedro@gmail.com,AvCalle,5,veracruz,9565
Pedro,Gutiererz,Sanchez,Contador,Padre,11111111,111111,pedro@gmail.com,AvCalle,5,veracruz,9565
Pedro,Gutiererz,Sanchez,Contador,Padre,11111111,111111,pedro@gmail.com,AvCalle,5,veracruz,9565
Pedro,Gutiererz,Sanchez,Contador,Padre,11111111,111111,pedro@gmail.com,AvCalle,5,veracruz,9565
Pedro,Gutiererz,Sanchez,Contador,Padre,11111111,111111,pedro@gmail.com,AvCalle,5,veracruz,9565
Pedro,Gutiererz,Sanchez,Contador,Padre,11111111,111111,pedro@gmail.com,AvCalle,5,veracruz,9565
Pedro,Gutiererz,Sanchez,Contador,Padre,11111111,111111,pedro@gmail.com,AvCalle,5,veracruz,9565
Pedro,Gutiererz,Sanchez,Contador,Padre,11111111,111111,pedro@gmail.com,AvCalle,5,veracruz,9565
